Age,Gender,Whatsapp,Instagram,Snapchat,Telegram,Facebook,BeReal,TikTok,WeChat,Twitter,Linkedin,Messages,TotalSocialMediaScreenTime,Number of times opened (hourly intervals),Daily Usage Hours,App Switching Frequency,Notification Response Time,Screen Time Awareness,Social Pressure,FOMO Level,Sleep Quality,Academic Performance,Content Type Preference,Purchase via Social Media,SocialMediaAddiction
24,Male,20,18,1,0,0,0,0,0,0.5,0,39.5,120,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
25,Female,15,13,1.5,0,0,0,0,0,0.5,0.5,30.5,115,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
24,Male,12,14.5,1,0,0,0,0,0,0.5,0,28,109,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
23,Female,19,15,1.5,0,0,0,0,0,0.5,0,36,116,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
24,Male,12.55,19.12,1.56,0.09,0.07,0,0,0,0,0.47,0.04,33.9,135,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
23,Female,10.13,17.35,1.52,0.13,0,0,0,0,0,3.05,0.03,32.21,121,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
24,Male,8.12,21.53,1.04,0.02,0,0,0,0,0,2.05,0.04,32.8,141,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
23,Female,9.01,15.35,1.02,0,0,0,0,0,3.01,0.04,28.43,132,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
24,Male,9.3,16.01,1.11,0,0,0,0,0,2.07,0.03,28.52,142,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
23,Female,7.2,15.04,0.56,0,0,0,0,0,1.15,0.05,24,134,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
24,Male,8.1,14.03,0.54,0,0,0,0,0,1.13,0.05,23.85,145,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
23,Female,12.13,3,0.5,0.9,0,0,0,0,0,0.9,0.15,17.58,119,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
24,Male,9.5,2.3,0.2,0.3,0,0,0,0,0,1.3,0.12,13.72,112,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
25,Female,10.5,0,0,0.06,0,0,0,0,0.7,0.04,11.3,126,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
24,Male,11.36,0,0,0.01,0,0,0,0,0.25,0.06,11.68,105,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
23,Female,7.7,0,0,1.22,0,0,0,0,0,1.23,0.03,10.18,105,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
24,Male,9.7,3,0,1,0,0,0,0,0.5,2.43,0.06,16.69,112,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
25,Female,12.5,14.3,0,0.4,0,0,0,0,0,2.5,0.08,29.78,134,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
24,Male,4.52,10.6,2.19,0,0,0,0,0,0.2,0.019,17.529,115,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
23,Female,5.21,9.28,2.6,0,0,0,0,0,0.12,0.07,17.28,117,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
22,Male,2.14,10.8,1.4,0,0,0,0,0,0.11,0.03,14.48,93,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Not Addicted
23,Female,5.1,10.35,1.29,0,0,0,0,0,0.2,0.05,16.99,108,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
24,Male,3.4,7.2,0.46,0,0,0,0,0,0,0,11.06,69,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Not Addicted
23,Female,5.2,11,0.57,0,1.7,0,0.46,0,0,0.14,0,19.07,75,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Not Addicted
24,Male,5.23,13.8,1.5,0,0,0,0,0,0,0,0,20.53,121,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
23,Female,0.04,7.6,0,0,0,0,0.6,7.1,0,0.35,0.82,16.51,83,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Not Addicted
24,Male,0,1.8,0,0,0,0,3.9,6.83,0.33,0.15,1.4,14.41,63,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Not Addicted
23,Female,0.73,6.33,0,0,0,0,2.33,7.5,0.21,0.04,1.28,18.42,97,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Not Addicted
24,Male,0.15,9.3,0,0,0,0,2.5,9.5,0.67,0.5,1.5,24.12,102,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Not Addicted
23,Female,0.03,7.2,0,0,0,0,1.5,10.5,0.33,0.33,1.35,21.24,98,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Not Addicted
24,Male,0.05,3.6,0,0,0,0,1.33,5,0.5,0.67,1.8,12.95,57,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Not Addicted
25,Female,0.01,10,0,0,0,0,2.7,10,0.6,2.3,1,26.61,127,6,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
19,Male,7.2,9.5,2.1,0.15,0,0,0,0,0,5.8,0.2,24.95,118,6.8,High,Immediate,Low,High,Very High,Poor,Average,Entertainment,Yes,Addicted
20,Female,10.3,8.7,1.8,0.08,0,0,0,0,0,6.2,0.15,27.25,115,7,High,Immediate,Low,High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
21,Male,9.8,10.2,2.5,0.1,0,0,0,0,0,7.1,0.12,29.72,122,7.2,Very High,Immediate,Very Low,Very High,Very High,Very Poor,Below Average,Entertainment,Yes,Addicted
22,Female,11.1,13.5,3.2,0.05,0,0,0,0,0,8.5,0.08,36.38,125,7.5,Very High,Immediate,Low,Very High,Very High,Very Poor,Below Average,Entertainment,Yes,Addicted
18,Male,6.5,5.8,1.2,0.12,0,0,0,0,0,3.2,0.22,17.12,98,5.2,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
19,Female,4.8,3.9,0.8,0.25,0,0.18,0,0,0,1.8,0.45,12.13,72,4,Medium,Moderate,High,Low,Low,Good,Excellent,Mixed,No,Not Addicted
20,Male,7.3,6.2,2.8,0.38,0,0.42,0,0,0,2.1,0.6,19.53,108,5.8,High,Moderate,Medium,Medium,Medium,Fair,Good,Mixed,No,Addicted
21,Female,8.9,9.1,3.1,0.22,0,0.28,0,0,0,3.4,0.35,24.95,126,6.5,High,Moderate,Medium,High,High,Fair,Average,Entertainment,Yes,Addicted
22,Male,5.2,7.5,1.9,0.18,0,0.35,0,0,0,2.6,0.28,17.98,94,5.5,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
18,Female,6.8,8.2,2.3,0.42,0,0.5,0,0,0,1.9,0.55,20.25,115,6,High,Moderate,Medium,Medium,High,Fair,Average,Entertainment,Yes,Addicted
19,Male,4.1,5.6,1.5,0.65,0,0.32,0,0,0,1.2,0.72,13.92,68,3.8,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
20,Female,9.5,11.8,4.2,0.28,0,0.15,0,0,0,4.1,0.42,30.45,132,7.2,High,Immediate,Low,High,Very High,Poor,Average,Entertainment,Yes,Addicted
21,Male,3.9,4.2,0.9,0.58,0,0.48,0,0,0,0.8,0.58,11.43,65,3.5,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
22,Female,10.8,12.5,2.9,0.12,0,0,0,0,0,5.3,0.25,31.78,118,6.8,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
18,Male,7.6,6.3,1.6,0.05,0,0,0,0,0,4.8,0.18,20.43,102,5.9,High,Moderate,Medium,Medium,Medium,Fair,Good,Mixed,No,Addicted
19,Female,5.3,9.8,2.1,0.35,0,0.22,0,0,0,2.8,0.48,20.72,110,6.2,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Addicted
20,Male,12.2,14.3,5.1,0.08,0,0,0,0,0,6.9,0.15,38.68,128,7.5,Very High,Immediate,Very Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
21,Female,6.9,7.4,1.8,0.22,0,0.18,0,0,0,3.2,0.35,19.93,105,5.8,High,Moderate,Medium,Medium,Medium,Fair,Average,Mixed,No,Not Addicted
22,Male,4.5,5.1,1.3,0.45,0,0.38,0,0,0,1.5,0.65,13.33,76,4.2,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
18,Female,8.1,10.2,2.6,0.15,0,0.25,0,0,0,4.5,0.28,25.93,118,6.5,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
19,Male,9.7,11.5,3.8,0.18,0,0.12,0,0,0,5.6,0.22,30.93,125,7,High,Immediate,Low,High,Very High,Poor,Average,Entertainment,Yes,Addicted
20,Female,5.8,6.9,1.7,0.52,0,0.42,0,0,0,2.2,0.58,17.88,92,5.5,High,Moderate,Medium,Low,Medium,Good,Good,Mixed,No,Not Addicted
21,Male,7.2,8.5,2.4,0.28,0,0.35,0,0,0,3.8,0.42,22.23,114,6.2,High,Moderate,Medium,Medium,Medium,Fair,Average,Mixed,No,Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
